nohup: ignoring input
2016/03/13 00:40:46 7720000
2016/03/13 00:41:13 7730000
2016/03/13 00:41:39 7740000
2016/03/13 00:42:05 7750000
2016/03/13 00:42:29 7760000
2016/03/13 00:42:55 7770000
2016/03/13 00:43:22 7780000
2016/03/13 00:43:49 7790000
2016/03/13 00:44:12 7800000
2016/03/13 00:44:39 7810000
2016/03/13 00:45:04 7820000
2016/03/13 00:45:26 7830000
2016/03/13 00:45:51 7840000
2016/03/13 00:46:14 7850000
2016/03/13 00:46:43 7860000
2016/03/13 00:47:06 7870000
2016/03/13 00:47:28 7880000
2016/03/13 00:47:54 7890000
2016/03/13 00:48:19 7900000
2016/03/13 00:48:46 7910000
2016/03/13 00:49:13 7920000
2016/03/13 00:49:37 7930000
2016/03/13 00:50:02 7940000
2016/03/13 00:50:26 7950000
2016/03/13 00:50:52 7960000
2016/03/13 00:51:19 7970000
2016/03/13 00:51:44 7980000
2016/03/13 00:52:09 7990000
2016/03/13 00:52:35 8000000
2016/03/13 00:53:01 8010000
2016/03/13 00:53:26 8020000
2016/03/13 00:53:53 8030000
2016/03/13 00:54:17 8040000
2016/03/13 00:54:40 8050000
2016/03/13 00:55:00 8060000
2016/03/13 00:55:26 8070000
2016/03/13 00:55:52 8080000
2016/03/13 00:56:17 8090000
2016/03/13 00:56:40 8100000
2016/03/13 00:57:04 8110000
2016/03/13 00:57:29 8120000
2016/03/13 00:57:55 8130000
2016/03/13 00:58:19 8140000
2016/03/13 00:58:44 8150000
2016/03/13 00:59:10 8160000
2016/03/13 00:59:34 8170000
2016/03/13 01:00:00 8180000
2016/03/13 01:00:24 8190000
2016/03/13 01:00:47 8200000
2016/03/13 01:01:13 8210000
2016/03/13 01:01:38 8220000
2016/03/13 01:02:02 8230000
2016/03/13 01:02:26 8240000
