detectorid,starttime,volume,speed,occupancy,status,dqflags
1347,9/15/2011 0:09:00,2,81,4,2,0
1347,9/15/2011 0:09:20,2,48,2,2,0
1347,9/15/2011 0:09:40,1,63,0,3,0
1347,9/15/2011 0:10:00,1,49,4,2,0
1347,9/15/2011 0:10:20,2,49,2,2,0
1347,9/15/2011 0:10:40,1,63,1,2,0
1347,9/15/2011 0:11:00,2,57,2,2,0
1347,9/15/2011 0:11:20,3,67,3,2,0
1347,9/15/2011 0:11:40,2,51,1,2,0
1347,9/15/2011 0:12:00,4,53,9,2,0
1347,9/15/2011 0:12:20,1,50,3,2,0
1347,9/15/2011 0:12:40,2,62,6,2,0
1347,9/15/2011 0:13:00,5,63,10,2,0
1347,9/15/2011 0:13:20,3,67,8,2,0
1347,9/15/2011 0:13:40,4,58,3,2,0
1347,9/15/2011 0:14:00,0,,0,0,0
1347,9/15/2011 0:14:20,2,58,2,2,0
1347,9/15/2011 0:14:40,1,63,1,2,0
1347,9/15/2011 0:15:00,2,82,2,2,0
1347,9/15/2011 0:15:20,2,49,7,2,0
1347,9/15/2011 0:15:40,1,67,1,2,0
1347,9/15/2011 0:16:00,0,,0,0,0
1347,9/15/2011 0:16:20,4,64,8,2,0
1347,9/15/2011 0:16:40,0,,0,0,0
1347,9/15/2011 0:17:00,5,54,16,2,0
1347,9/15/2011 0:17:20,3,61,3,2,0
1347,9/15/2011 0:17:40,2,66,5,2,0
1347,9/15/2011 0:18:00,2,57,2,2,0
1347,9/15/2011 0:18:20,2,65,2,2,0
1347,9/15/2011 0:18:40,0,,0,0,0
1347,9/15/2011 0:19:00,2,65,2,2,0
1347,9/15/2011 0:19:20,1,50,0,3,0
1347,9/15/2011 0:19:40,0,,0,0,0
1347,9/15/2011 0:20:00,0,,0,0,0
1347,9/15/2011 0:20:20,1,67,0,3,0
1347,9/15/2011 0:20:40,2,58,2,2,0
1347,9/15/2011 0:21:00,1,62,1,2,0
1347,9/15/2011 0:21:20,1,67,1,2,0
1347,9/15/2011 0:21:40,1,64,1,2,0
1347,9/15/2011 0:22:00,3,53,6,2,0
1347,9/15/2011 0:22:20,1,67,1,2,0
